title,budget,release_year,runtime,vote_average,label
Avatar,237000000 ,2009,162,7.2,1
Pirates of the Caribbean: At World's End,300000000 ,2007,169,6.9,0
Spectre,245000000 ,2015,148,6.3,0
The Dark Knight Rises,250000000 ,2012,165,7.6,1
John Carter,260000000 ,2012,132,6.1,0
Spider-Man 3,258000000 ,2007,139,5.9,0
Tangled,260000000 ,2010,100,7.4,1
Avengers: Age of Ultron,280000000 ,2015,141,7.3,1
Harry Potter and the Half-Blood Prince,250000000 ,2009,153,7.4,1
Batman v Superman: Dawn of Justice,250000000 ,2016,151,5.7,0
Superman Returns,270000000 ,2006,154,5.4,0
Quantum of Solace,200000000 ,2008,106,6.1,0
Pirates of the Caribbean: Dead Man's Chest,200000000 ,2006,151,7,0
The Lone Ranger,255000000 ,2013,149,5.9,0
Man of Steel,225000000 ,2013,143,6.5,0
The Chronicles of Narnia: Prince Caspian,225000000 ,2008,150,6.3,0
The Avengers,220000000 ,2012,143,7.4,1
Pirates of the Caribbean: On Stranger Tides,380000000 ,2011,136,6.4,0
Men in Black 3,225000000 ,2012,106,6.2,0
The Hobbit: The Battle of the Five Armies,250000000 ,2014,144,7.1,1
The Amazing Spider-Man,215000000 ,2012,136,6.5,0
Robin Hood,200000000 ,2010,140,6.2,0
The Hobbit: The Desolation of Smaug,250000000 ,2013,161,7.6,1
The Golden Compass,180000000 ,2007,113,5.8,0
King Kong,207000000 ,2005,187,6.6,0
Titanic,200000000 ,1997,194,7.5,1
Captain America: Civil War,250000000 ,2016,147,7.1,1
Battleship,209000000 ,2012,131,5.5,0
Jurassic World,150000000 ,2015,124,6.5,0
Skyfall,200000000 ,2012,143,6.9,0
Spider-Man 2,200000000 ,2004,127,6.7,0
Iron Man 3,200000000 ,2013,130,6.8,0
Alice in Wonderland,200000000 ,2010,108,6.4,0
X-Men: The Last Stand,210000000 ,2006,104,6.3,0
Monsters University,200000000 ,2013,104,7,0
Transformers: Revenge of the Fallen,150000000 ,2009,150,6,0
Transformers: Age of Extinction,210000000 ,2014,165,5.8,0
Oz: The Great and Powerful,200000000 ,2013,130,5.7,0
The Amazing Spider-Man 2,200000000 ,2014,142,6.5,0
TRON: Legacy,170000000 ,2010,125,6.3,0
Cars 2,200000000 ,2011,106,5.8,0
Green Lantern,200000000 ,2011,114,5.1,0
Toy Story 3,200000000 ,2010,103,7.6,1
Terminator Salvation,200000000 ,2009,115,5.9,0
Furious 7,190000000 ,2015,137,7.3,1
World War Z,200000000 ,2013,116,6.7,0
X-Men: Days of Future Past,250000000 ,2014,131,7.5,1
Star Trek Into Darkness,190000000 ,2013,132,7.4,1
Jack the Giant Slayer,195000000 ,2013,114,5.5,0
The Great Gatsby,105000000 ,2013,143,7.3,1
Prince of Persia: The Sands of Time,150000000 ,2010,116,6.2,0
Pacific Rim,180000000 ,2013,131,6.7,0
Transformers: Dark of the Moon,195000000 ,2011,154,6.1,0
Indiana Jones and the Kingdom of the Crystal Skull,185000000 ,2008,122,5.7,0
The Good Dinosaur,175000000 ,2015,93,6.6,0
Brave,185000000 ,2012,93,6.7,0
Star Trek Beyond,185000000 ,2016,122,6.6,0
WALL繚E,180000000 ,2008,98,7.8,1
Rush Hour 3,140000000 ,2007,91,6.1,0
A Christmas Carol,200000000 ,2009,96,6.6,0
The Legend of Tarzan,180000000 ,2016,109,5.5,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000 ,2005,143,6.7,0
X-Men: Apocalypse,178000000 ,2016,144,6.4,0
The Dark Knight,185000000 ,2008,152,8.2,1
Up,175000000 ,2009,96,7.7,1
Monsters vs Aliens,175000000 ,2009,94,6,0
Iron Man,140000000 ,2008,126,7.4,1
Hugo,170000000 ,2011,126,7,0
Wild Wild West,170000000 ,1999,106,5.1,0
The Mummy: Tomb of the Dragon Emperor,145000000 ,2008,112,5.2,0
Suicide Squad,175000000 ,2016,123,5.9,0
Evan Almighty,175000000 ,2007,96,5.3,0
Edge of Tomorrow,178000000 ,2014,113,7.6,1
Waterworld,175000000 ,1995,135,5.9,0
G.I. Joe: The Rise of Cobra,175000000 ,2009,118,5.6,0
Inside Out,175000000 ,2015,94,8,1
The Jungle Book,175000000 ,2016,106,6.7,0
Iron Man 2,200000000 ,2010,124,6.6,0
Snow White and the Huntsman,170000000 ,2012,127,5.8,0
Maleficent,180000000 ,2014,97,7,0
Dawn of the Planet of the Apes,170000000 ,2014,130,7.3,1
The Lovers,27000000 ,2015,109,4.8,0
47 Ronin,175000000 ,2013,119,5.9,0
Captain America: The Winter Soldier,170000000 ,2014,136,7.6,1
Shrek Forever After,165000000 ,2010,93,6,0
Tomorrowland,190000000 ,2015,130,6.2,0
Big Hero 6,165000000 ,2014,102,7.8,1
Wreck-It Ralph,165000000 ,2012,108,7.1,1
The Polar Express,165000000 ,2004,100,6.4,0
Independence Day: Resurgence,165000000 ,2016,120,4.9,0
How to Train Your Dragon,165000000 ,2010,98,7.5,1
Terminator 3: Rise of the Machines,200000000 ,2003,109,5.9,0
Guardians of the Galaxy,170000000 ,2014,121,7.9,1
Interstellar,165000000 ,2014,169,8.1,1
Inception,160000000 ,2010,148,8.1,1
Shin Godzilla,15000000 ,2016,120,6.5,0
The Hobbit: An Unexpected Journey,250000000 ,2012,169,7,0
The Fast and the Furious,38000000 ,2001,106,6.6,0
The Curious Case of Benjamin Button,150000000 ,2008,166,7.3,1
X-Men: First Class,160000000 ,2011,132,7.1,1
The Hunger Games: Mockingjay - Part 2,160000000 ,2015,137,6.6,0
The Sorcerer's Apprentice,150000000 ,2010,109,5.8,0
Poseidon,160000000 ,2006,99,5.5,0
Alice Through the Looking Glass,170000000 ,2016,113,6.5,0
Shrek the Third,160000000 ,2007,93,6,0
Warcraft,160000000 ,2016,123,6.3,0
Terminator Genisys,155000000 ,2015,126,5.8,0
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000 ,2010,113,6.2,0
Pearl Harbor,140000000 ,2001,183,6.6,0
Transformers,150000000 ,2007,144,6.6,0
Alexander,155000000 ,2004,175,5.6,0
Harry Potter and the Order of the Phoenix,150000000 ,2007,138,7.4,1
Harry Potter and the Goblet of Fire,150000000 ,2005,157,7.5,1
Hancock,150000000 ,2008,92,6.2,0
I Am Legend,150000000 ,2007,101,6.9,0
Charlie and the Chocolate Factory,150000000 ,2005,115,6.7,0
Ratatouille,150000000 ,2007,111,7.5,1
Batman Begins,150000000 ,2005,140,7.5,1
Madagascar: Escape 2 Africa,150000000 ,2008,89,6.2,0
Night at the Museum: Battle of the Smithsonian,150000000 ,2009,105,5.9,0
X-Men Origins: Wolverine,150000000 ,2009,107,6.2,0
The Matrix Revolutions,150000000 ,2003,129,6.4,0
Frozen,150000000 ,2013,102,7.3,1
The Matrix Reloaded,150000000 ,2003,138,6.7,0
Thor: The Dark World,170000000 ,2013,112,6.8,0
Mad Max: Fury Road,150000000 ,2015,120,7.2,1
Angels & Demons,150000000 ,2009,138,6.5,0
Thor,150000000 ,2011,115,6.6,0
Bolt,150000000 ,2008,98,6.3,0
G-Force,150000000 ,2009,88,5.1,0
Wrath of the Titans,150000000 ,2012,99,5.5,0
Dark Shadows,150000000 ,2012,113,5.7,0
Mission: Impossible - Rogue Nation,150000000 ,2015,131,7.1,1
The Wolfman,150000000 ,2010,102,5.5,0
Bee Movie,150000000 ,2007,91,5.7,0
Kung Fu Panda 2,150000000 ,2011,91,6.7,0
The Last Airbender,150000000 ,2010,103,4.7,0
Mission: Impossible III,150000000 ,2006,126,6.5,0
White House Down,150000000 ,2013,131,6.4,0
Mars Needs Moms,150000000 ,2011,88,5.5,0
Flushed Away,149000000 ,2006,85,6,0
Pan,150000000 ,2015,111,5.9,0
Mr. Peabody & Sherman,145000000 ,2014,92,6.7,0
Troy,175000000 ,2004,163,6.9,0
Madagascar 3: Europe's Most Wanted,145000000 ,2012,93,6.4,0
Die Another Day,140000000 ,2002,133,5.8,0
Ghostbusters,144000000 ,2016,116,5.3,0
Armageddon,140000000 ,1998,151,6.4,0
Men in Black II,140000000 ,2002,88,6,0
Beowulf,70000000 ,2007,115,5.5,0
Kung Fu Panda 3,145000000 ,2016,95,6.7,0
Mission: Impossible - Ghost Protocol,145000000 ,2011,133,6.8,0
Rise of the Guardians,145000000 ,2012,97,7.1,1
Fun with Dick and Jane,100000000 ,2005,90,5.9,0
The Last Samurai,140000000 ,2003,154,7.3,1
Exodus: Gods and Kings,140000000 ,2014,150,5.6,0
Star Trek,150000000 ,2009,127,7.4,1
Spider-Man,139000000 ,2002,121,6.8,0
How to Train Your Dragon 2,145000000 ,2014,102,7.6,1
Gods of Egypt,140000000 ,2016,127,5.3,0
Stealth,135000000 ,2005,121,4.9,0
Watchmen,130000000 ,2009,163,7,0
Lethal Weapon 4,140000000 ,1998,127,6.3,0
Hulk,137000000 ,2003,138,5.3,0
G.I. Joe: Retaliation,130000000 ,2013,110,5.4,0
Sahara,130000000 ,2005,124,5.7,0
Final Fantasy: The Spirits Within,137000000 ,2001,106,5.9,0
Captain America: The First Avenger,140000000 ,2011,124,6.6,0
The World Is Not Enough,135000000 ,1999,128,6,0
Master and Commander: The Far Side of the World,150000000 ,2003,138,6.9,0
The Twilight Saga: Breaking Dawn - Part 2,120000000 ,2012,115,6.1,0
Happy Feet Two,130000000 ,2011,100,5.8,0
The Incredible Hulk,150000000 ,2008,114,6.1,0
The BFG,140000000 ,2016,120,6,0
The Revenant,135000000 ,2015,156,7.3,1
Turbo,135000000 ,2013,96,6.1,0
Rango,135000000 ,2011,107,6.6,0
Penguins of Madagascar,132000000 ,2014,92,6.5,0
The Bourne Ultimatum,70000000 ,2007,115,7.3,1
Kung Fu Panda,130000000 ,2008,90,6.9,0
Ant-Man,130000000 ,2015,117,7,0
The Hunger Games: Catching Fire,130000000 ,2013,146,7.4,1
Home,135000000 ,2015,94,6.8,0
War of the Worlds,132000000 ,2005,116,6.2,0
Bad Boys II,130000000 ,2003,147,6.3,0
Puss in Boots,130000000 ,2011,90,6.4,0
Salt,110000000 ,2010,100,6.2,0
